harry potter,120,2000,7.30,"Harry descobre que e um bruxo"
fight club,140,1999,9.30,"O protagonista sem nome se descobre ate conhecer tyler, um homem misterioso"
pokemon,70,1999,7.50,"Ash deve capturar todos os pokemons com o seu companheiro, pikachu"
star wars,140,1977,9.50,"Luke embarca em uma aventura que nunca teria imaginado, lutando contra o imperio tiranico"
star trek,110,2010,8.40,"Capitao Kirk embarca em uma jornada para explorar o espaco"
the terminator,120,1980,9.00,"Cabe a John Connor impedir o exterminador de tomar controle do presente"
lego batman,90,2016,9.00,"Batman! So que em LEGO e com muita, mas muita criatividade"
batman begins,110,2006,8.70,"Comeca a saga epica de Bruce Wayne no combate ao crime na cidade que matou seus pais, Gotham"
Amazing Stories,1986,111,7.2,A compilation of episodes from the anthology SF/Fantasy TV series.
Show Pieces,2014,78,6.5,From the mindscape of Alan Moore comes an anthology of three shorts linked by the Northampton netherworld.
Amazing Stories,1986,111,7.2,A compilation of episodes from the anthology SF/Fantasy TV series.
Michael Jackson: Smooth Criminal (II),1988,48,8.4,Michael tried to protect three children as he is chased by Mr Big and his army across a city. Excerpt from Moonwalker 1988.
Show Pieces,2014,78,6.5,From the mindscape of Alan Moore comes an anthology of three shorts linked by the Northampton netherworld.
